,NFLX,AAPL,BAC,BA,CSCO,CME,DE
2003-01-02 00:00:00,0.8178571463,0.9151657224,22.1728477478,22.6715831757,10.4597520828,5.3306264877,16.5106563568
2003-01-03 00:00:00,0.7728571296,0.9213494658,22.0348129272,22.8723335266,10.6667957306,5.5842328072,16.3156757355
2003-01-06 00:00:00,0.7928571701,0.9213494658,22.3516426086,22.8388710022,10.8891849518,5.8646669388,16.3922767639
2003-01-07 00:00:00,0.7835714221,0.9182575941,22.3861560822,22.2834625244,11.1959199905,5.8549108505,16.0928382874
2003-01-08 00:00:00,0.8149999976,0.8997070789,22.2951869965,22.4172916412,11.0732250214,5.8536925316,16.016242981
2003-01-09 00:00:00,0.8385714293,0.9077455997,22.5869312286,22.684967041,11.4643173218,5.9804968834,16.1206912994
2003-01-10 00:00:00,0.8864285946,0.9102191925,22.5241928101,22.651512146,11.6713695526,5.9731793404,15.936164856
2003-01-13 00:00:00,0.8671428561,0.904653728,22.7061462402,22.9526367188,11.717376709,6.0499925613,15.6680545807
2003-01-14 00:00:00,0.8600000143,0.90341717,22.7375144958,22.8522605896,11.9474287033,5.9865903854,15.4939756393
2003-01-15 00:00:00,0.8714285493,0.8922866583,22.4143943787,22.3169193268,11.6406908035,5.7366423607,15.4487094879
2003-01-16 00:00:00,0.8571428657,0.9040352702,22.273223877,22.3905296326,11.4259748459,5.5330252647,15.6158370972
2003-01-17 00:00:00,0.8171428442,0.8718810678,22.4238109589,22.2767696381,10.8355054855,5.4891300201,15.4313049316
2003-01-21 00:00:00,0.8142856956,0.8669341803,22.1885242462,21.6812114716,10.8738508224,5.4196338654,14.909034729
2003-01-22 00:00:00,0.8285714388,0.8582769632,22.241853714,21.2663269043,10.7051401138,5.3830542564,14.7070884705
2003-01-23 00:00:00,0.8700000048,0.8762094975,22.4614467621,21.3131599426,11.1882553101,5.5391216278,14.7906484604
2003-01-24 00:00:00,0.8807142973,0.8533301353,21.8403186798,20.7510490417,10.6284561157,5.7293276787,14.5260295868
2003-01-27 00:00:00,0.8771428466,0.8737360239,21.5266056061,20.4900856018,10.5134277344,5.6390981674,14.3415002823
2003-01-28 00:00:00,0.8964285851,0.9015620947,21.6771850586,21.0454883575,10.9045209885,5.6098351479,14.3832836151
2003-01-29 00:00:00,0.8814285994,0.9232045412,21.8308982849,20.4833927155,10.797162056,5.6695837975,14.567814827
2003-01-30 00:00:00,0.9021428823,0.8854846358,21.5548362732,20.5168495178,10.6361265182,5.3891506195,14.6061038971
2003-01-31 00:00:00,0.9428571463,0.887958169,21.9751968384,21.139175415,10.2527046204,5.1818771362,14.6931495667
2003-02-03 00:00:00,0.9142857194,0.906508863,21.9689273834,20.81798172,10.337053299,5.1635861397,14.5260295868
2003-02-04 00:00:00,0.8785714507,0.9027988315,21.5328769684,20.9049701691,10.122338295,5.1209135056,14.4772930145
2003-02-05 00:00:00,0.8528571725,0.8935233951,21.4889640808,20.6358299255,10.122338295,5.0892128944,14.6130752563
2003-02-06 00:00:00,0.8321428299,0.8922866583,21.4638538361,20.55509758,10.1530103683,5.0599508286,14.2962360382
2003-02-07 00:00:00,0.8700000048,0.8749727607,21.3132801056,20.1850357056,9.8539457321,5.1343245506,14.2265949249
2003-02-10 00:00:00,0.8907142878,0.8873396516,21.3979892731,20.3667068481,10.0840005875,5.2428407669,14.1012516022
2003-02-11 00:00:00,0.9271428585,0.8873396516,21.2474040985,20.0773792267,10.3293857574,5.2318682671,14.5538892746
